Layer,CellType,Label,Hue_deg,Saturation_pct,Value_pct,Hex,Luminance
L1,Inh,L1_Inh,,,,#D9D9D9,0.6939
L2/3,Exc,L23_Exc,0,20,98,#F9C7C7,0.6511
L4,Exc,L4_Exc,0,40,99,#FC9797,0.4506
L6,Exc,L6_Exc,0,60,64,#A34141,0.1195
L5,Exc-ET,L5_ET,15,60,70,#B55F45,0.1844
L5,Exc-IT,L5_IT,35,60,70,#B58945,0.2814
L5,Exc-NP,L5_NP,315,45,76,#C16AAB,0.2459
L2/3,PV,L23_PV,115,32,90,#7FEA75,0.6464
L4,PV,L4_PV,115,48,80,#6BC663,0.4441
L5,PV,L5_PV,115,65,61,#3E9B36,0.2473
L6,PV,L6_PV,115,80,44,#1D7016,0.1191
L2/3,SST,L23_SST,180,32,90,#91E0E0,0.6471
L4,SST,L4_SST,180,48,80,#60C1C1,0.4448
L5,SST,L5_SST,180,45,58,#519393,0.2472
L6,SST,L6_SST,180,65,42,#256B6B,0.1197
L2/3,VIP,L23_VIP,270,32,90,#E3C9FC,0.6513
L4,VIP,L4_VIP,270,48,80,#CCA0F7,0.4469
L5,VIP,L5_VIP,270,60,98,#AE63F9,0.2476
L6,VIP,L6_VIP,270,70,78,#813BC6,0.1187
